,LegitCount,MI,SpamCount,Term
12585,2211.0,5.450635646268987,304.0,subject
4704,1350.0,3.8423824221867156,230.0,this
16738,1376.0,3.5394849392366092,202.0,with
46616,1260.0,3.2992011630392533,190.0,from
10051,1149.0,3.2848592561111705,197.0,will
36196,994.0,3.2618633778331487,206.0,have
34436,1237.0,3.2559690038193123,188.0,that
41908,491.0,3.2421216049603,234.0,your
47322,802.0,2.6412201440815886,167.0,more
43967,826.0,2.5541612214546845,158.0,please
46622,1010.0,2.47992415314345,138.0,information
17790,150.0,2.3270520131471812,175.0,free
22230,843.0,2.322036990650693,137.0,http
4229,560.0,2.319199403364352,156.0,only
30485,813.0,2.272934198998555,135.0,mail
16319,461.0,2.2724843014083396,158.0,time
23266,250.0,2.0553911975724404,151.0,just
18642,774.0,2.0531181217112144,119.0,there
14833,665.0,2.0420954739113,126.0,address
11447,805.0,1.9881501871405902,111.0,about
30512,853.0,1.9062189709606245,100.0,also
3249,843.0,1.897107183872096,100.0,other
3905,546.0,1.8614560984516277,119.0,what
34423,521.0,1.8414873457833103,119.0,send
23243,663.0,1.8291722538055852,108.0,would
14123,667.0,1.797725609371093,105.0,their
42237,399.0,1.797398462920239,123.0,list
23232,296.0,1.790056968331215,128.0,here
1478,557.0,1.7869916110970459,112.0,like
24531,252.0,1.751219807285696,127.0,over
19151,624.0,1.7373485262346877,103.0,call
20282,290.0,1.7361401079224192,124.0,make
26872,537.0,1.7349608038625814,109.0,they
3618,514.0,1.6804919583943736,106.0,email
32589,936.0,1.6747977398184712,72.0,which
10338,616.0,1.6605992036073045,97.0,first
30684,439.0,1.6567699607640485,109.0,name
9703,616.0,1.648989239596486,96.0,these
20049,349.0,1.6387415322718053,113.0,order
19372,666.0,1.6009808338906857,88.0,some
18189,352.0,1.5671291729964065,107.0,most
7616,422.0,1.5590749050507342,102.0,many
2367,161.0,1.5385003512135478,114.0,best
23384,144.0,1.5312570805649461,114.0,want
24422,113.0,1.5071330049057918,113.0,receive
2766,552.0,1.4889745662438476,87.0,available
9547,1334.0,1.480150119799861,10.0,university
45276,372.0,1.4721547642421213,98.0,very
8457,62.0,1.4705306621898764,111.0,money
15782,557.0,1.470122994704648,85.0,been
8501,617.0,1.4543932903190202,79.0,following
32140,552.0,1.4541819881187252,84.0,than
45723,340.0,1.4481811041327113,98.0,people
33771,328.0,1.4393854388212382,98.0,know
5410,99.0,1.4247467416356951,107.0,mailing
11244,504.0,1.4126702869665801,84.0,work
8524,1317.0,1.407901949451096,2.0,language
7583,77.0,1.4065567318880479,106.0,today
18076,113.0,1.403040234252093,105.0,internet
45471,298.0,1.380958158395841,95.0,take
31394,229.0,1.371989968459847,98.0,need
15428,267.0,1.3717908175213742,96.0,then
25465,179.0,1.3681800735192513,100.0,line
14235,506.0,1.3561847737223993,79.0,well
5950,324.0,1.3508788957789195,91.0,them
19860,353.0,1.3364752038741239,88.0,below
12365,80.0,1.3284089580909364,100.0,days
30104,726.0,1.3223000502292885,58.0,should
30735,364.0,1.3209342096868488,86.0,each
16957,528.0,1.3177452405816723,74.0,number
27083,118.0,1.3140584329976444,98.0,every
41883,252.0,1.3120186752057592,92.0,much
8456,7.0,1.293951712164371,97.0,remove
40110,294.0,1.2798763097660133,87.0,before
36882,370.0,1.277683195509356,82.0,world
27632,358.0,1.268124164449875,82.0,where
10389,255.0,1.264473982286413,88.0,site
41492,350.0,1.2497818845534383,81.0,state
5997,318.0,1.2490623400464376,83.0,when
47447,332.0,1.2477283607364589,82.0,phone
2010,73.0,1.2220057208225106,92.0,business
21239,238.0,1.203290042323481,84.0,even
2339,476.0,1.1912748239109445,67.0,including
21907,131.0,1.1906860896727227,88.0,check
31048,1117.0,1.190606534294287,1.0,linguistics
31197,332.0,1.163493144849542,75.0,within
18923,173.0,1.1619312305974303,84.0,come
43420,381.0,1.1559422925748335,71.0,program
40010,405.0,1.141021968521562,68.0,into
45087,177.0,1.139060165461516,82.0,home
38334,337.0,1.1316165506312295,72.0,special
25530,480.0,1.1262368628098205,61.0,include
