,LegitCount,MI,SpamCount,Term
11838,2324.0,5.279135551185227,452.0,subject
4492,1414.0,3.734168282854367,346.0,this
34036,1369.0,3.511597959838707,321.0,have
15718,1431.0,3.4602488041554187,307.0,with
43842,1314.0,3.244249208461946,291.0,from
9480,1205.0,3.235340753338849,302.0,will
39359,508.0,3.1024242732753846,351.0,your
32392,1297.0,3.0977007829373644,273.0,that
28714,880.0,2.666104212475907,261.0,mail
41338,880.0,2.5305936629005115,243.0,please
44527,830.0,2.437964540744481,236.0,more
43850,1042.0,2.3549016946589196,201.0,information
4065,585.0,2.280936176270562,240.0,only
13932,808.0,2.2627026431521626,215.0,address
16748,162.0,2.215517790725395,263.0,free
32378,781.0,2.1660358498373715,205.0,send
15333,545.0,2.159100718268221,228.0,time
20955,849.0,2.1328791867042396,193.0,http
19122,610.0,2.0995283172206274,214.0,make
39681,546.0,2.013153298858373,209.0,list
3138,939.0,1.9981944266329252,164.0,other
24049,892.0,1.9791401794861283,167.0,include
17562,826.0,1.9738011533867148,174.0,there
10792,850.0,1.957646336218303,169.0,about
18058,723.0,1.947161364700691,182.0,call
21936,265.0,1.9217192914332604,221.0,just
28735,901.0,1.8501404565490926,148.0,also
3759,576.0,1.8447666029853635,184.0,what
23026,368.0,1.8332708639164574,202.0,receive
28884,559.0,1.7859964799803063,178.0,name
10597,767.0,1.777444664932739,154.0,work
44108,813.0,1.7733897434131451,148.0,follow
21917,707.0,1.7708325465446402,160.0,would
1430,603.0,1.7602488734834085,170.0,like
42762,490.0,1.7562219178162628,181.0,take
30682,988.0,1.7169672810672267,118.0,which
9151,639.0,1.6922565507184815,157.0,these
13274,700.0,1.6840230427358773,149.0,their
25323,562.0,1.667346962756527,162.0,they
21908,320.0,1.6599591854606077,184.0,here
18894,459.0,1.6562562778650016,171.0,order
23121,267.0,1.6506728737823835,187.0,over
31774,469.0,1.6330943293966964,167.0,know
7967,24.0,1.624938390951325,195.0,remove
8025,1574.0,1.6161687470186819,6.0,language
29569,321.0,1.5739402166474958,173.0,need
22044,208.0,1.5689732756903039,181.0,want
3489,531.0,1.5673630435126427,152.0,email
9766,647.0,1.5659237111702557,139.0,first
18258,723.0,1.5581830256989662,129.0,some
7175,448.0,1.5559716450444125,159.0,many
15941,601.0,1.53479914764171,140.0,number
24794,489.0,1.5342051274122406,152.0,find
19752,493.0,1.522197283537614,150.0,give
3077,232.0,1.5102449152113744,172.0,offer
25800,744.0,1.5048143202604742,119.0,interest
20640,189.0,1.502476478250357,174.0,check
9003,1401.0,1.4952182952152433,18.0,university
7968,62.0,1.4529921678638678,174.0,money
5647,341.0,1.431196303776654,153.0,them
2660,570.0,1.4277180834160867,129.0,available
42988,374.0,1.423971683889782,149.0,people
17828,308.0,1.4238999822468994,155.0,come
17125,381.0,1.4214096162925491,148.0,most
2289,171.0,1.4205148292855934,165.0,best
30275,572.0,1.3999287505679887,125.0,than
42578,390.0,1.3896648558861493,143.0,very
24207,408.0,1.3879597800153904,141.0,year
38970,445.0,1.3785651837136057,136.0,state
9821,276.0,1.3552791439929646,149.0,site
40836,472.0,1.354793912334288,130.0,program
14487,279.0,1.3415591063773757,147.0,then
17016,117.0,1.330406489274142,157.0,internet
18716,368.0,1.281126989752737,131.0,below
5695,331.0,1.27670787061435,134.0,when
23994,240.0,1.2765682836635202,142.0,line
13371,526.0,1.2730353070678535,113.0,well
