,LegitCount,MI,SpamCount,Term
11804,1860.0,5.178360187833443,481.0,subject
41294,657.0,2.3815700199645797,253.0,please
43783,778.0,2.223589410958478,210.0,information
16693,133.0,2.101505590160943,278.0,free
28657,633.0,2.0880319078481753,213.0,mail
20914,583.0,2.022394461432039,211.0,http
13895,528.0,1.925270724421015,205.0,address
32331,430.0,1.697119465961434,186.0,send
21850,283.0,1.6613954491758882,201.0,here
39648,372.0,1.6605448111143422,189.0,list
23049,216.0,1.5902175915806207,199.0,over
28842,343.0,1.5499228277414854,177.0,name
17986,444.0,1.5355571741841185,160.0,call
9676,512.0,1.5079818804053553,145.0,first
3405,398.0,1.4882631283160261,160.0,email
7128,369.0,1.4794360729584999,163.0,many
18858,262.0,1.4534221570962915,174.0,order
8926,1081.0,1.4418922085358243,15.0,university
14786,484.0,1.4184742315822279,136.0,been
21994,144.0,1.4058567392720038,181.0,want
22949,96.0,1.4028609067083495,185.0,receive
7981,1070.0,1.393014576160945,6.0,language
17068,307.0,1.3843359412628036,158.0,most
7959,493.0,1.3628208061212663,126.0,following
2587,437.0,1.3547042626935961,134.0,available
2226,148.0,1.3513455039801483,173.0,best
7918,55.0,1.3375222148757124,179.0,money
15890,420.0,1.3233141900717564,132.0,number
29512,207.0,1.3065395586687218,160.0,need
10532,418.0,1.301279082848748,129.0,work
5085,79.0,1.2764815504435454,169.0,mailing
16963,91.0,1.2617222014054403,166.0,internet
18669,278.0,1.218644719828331,138.0,below
7917,6.0,1.2075633007263669,163.0,remove
28896,275.0,1.1745241519134353,132.0,each
44559,265.0,1.1716499696441358,133.0,phone
39323,245.0,1.1593588673221233,134.0,much
25458,100.0,1.1587785353489617,151.0,every
7097,58.0,1.1557301157737223,154.0,today
19979,217.0,1.1540904933425415,137.0,even
23932,142.0,1.146389215218412,145.0,line
29187,883.0,1.1382270261356604,1.0,linguistics
25976,324.0,1.135616392544709,119.0,where
20612,100.0,1.1226446160788432,146.0,check
9725,176.0,1.1176531849412281,137.0,site
1882,63.0,1.1071597725972693,147.0,business
11599,61.0,1.1060932484464356,147.0,days
37666,252.0,1.1040279383423697,125.0,before
38946,288.0,1.0852065298412805,117.0,state
34656,283.0,1.073357417533584,116.0,world
38876,167.0,1.0605405374603007,130.0,message
42344,154.0,1.0565760246838534,131.0,home
40772,295.0,1.0450829798839876,110.0,program
2997,68.0,1.044333259603157,138.0,offer
2197,361.0,1.0354238335035184,98.0,including
7569,370.0,1.0256499162996986,95.0,does
23997,372.0,1.0213317326010363,94.0,include
29324,251.0,1.0208341665050267,113.0,within
37946,340.0,1.006073527279174,97.0,those
16352,250.0,0.9925573768985001,109.0,through
19156,313.0,0.9903588666309004,99.0,must
35575,298.0,0.9878349952518458,101.0,sent
30064,237.0,0.9727940542358842,108.0,after
36015,262.0,0.9707313898002935,104.0,special
23925,6.0,0.9703672542349858,131.0,click
38661,236.0,0.9513174408713025,105.0,using
17099,62.0,0.9316314025581366,123.0,service
24694,44.0,0.929264204115875,124.0,easy
13498,410.0,0.9233318004768589,72.0,contact
28939,258.0,0.9193701059420853,97.0,same
15877,241.0,0.9155224472681596,99.0,being
6243,687.0,0.9141264480303761,9.0,english
32562,256.0,0.9038388249272513,95.0,questions
4701,126.0,0.8986285027954612,112.0,right
25358,336.0,0.8971345666377399,81.0,form
25746,13.0,0.8966085445561367,121.0,removed
39435,226.0,0.8936212331124525,98.0,place
28630,195.0,0.8906179031488565,102.0,years
6319,566.0,0.8854441175209085,34.0,research
12643,189.0,0.8848813203847015,102.0,help
39841,51.0,0.8816722750049499,117.0,cost
22311,311.0,0.8761290552120378,82.0,different
32606,134.0,0.8628866668718815,106.0,again
33900,111.0,0.8580094084277516,108.0,back
24390,230.0,0.8569214339623811,92.0,full
11274,142.0,0.8486988511727218,103.0,type
17050,116.0,0.847821017301233,106.0,great
44208,55.0,0.8474655274212802,112.0,start
1347,257.0,0.8445517736807853,86.0,made
35862,152.0,0.8365870838407201,100.0,thank
1162,355.0,0.8351467784405793,68.0,further
8966,219.0,0.8322010859830304,90.0,date
24589,75.0,0.8311505829856103,108.0,week
7961,124.0,0.8261186677348893,102.0,read
13540,66.0,0.8251593406991017,108.0,ever
25221,365.0,0.8213783571743334,64.0,both
16860,68.0,0.8192213081405193,107.0,reply
19138,101.0,0.8144345804793753,103.0,never
21863,308.0,0.8142772765860726,73.0,interested
18456,90.0,0.8059704566467076,103.0,simply
20203,624.0,0.8049892504812133,1.0,languages
11652,299.0,0.7978221040415379,72.0,used
10830,235.0,0.7947341022133327,82.0,computer
10147,257.0,0.7847516028899246,77.0,were
26568,36.0,0.7789518550629875,104.0,company
31152,349.0,0.7778863424011571,60.0,based
41118,134.0,0.7644112423043281,92.0,addresses
1963,278.0,0.7616432492281906,70.0,part
43430,106.0,0.761509241067517,95.0,wish
8485,84.0,0.7584518809437532,97.0,next
10268,127.0,0.7582062259291966,92.0,city
699,225.0,0.7574964534801565,78.0,above
24349,224.0,0.7564508485851068,78.0,received
34912,236.0,0.7557304880596667,76.0,anyone
22681,451.0,0.7495867773962462,35.0,between
13223,102.0,0.7440279417304406,93.0,making
22406,22.0,0.7438077891533031,100.0,product
34936,218.0,0.7367867052381261,76.0,copy
1571,7.0,0.733272871307542,99.0,thousands
18373,127.0,0.7301287065365722,88.0,software
14714,83.0,0.7290339491373996,93.0,visit
33381,173.0,0.7180606827989419,80.0,without
34599,244.0,0.7179794059078022,69.0,system
40580,96.0,0.7178229559176672,90.0,once
25738,282.0,0.7143457422265631,62.0,interest
22216,114.0,0.7116782752280613,87.0,future
11190,83.0,0.7075606467413458,90.0,simple
41525,21.0,0.7066513870871916,95.0,marketing
39355,77.0,0.7030164257999778,90.0,price
2633,327.0,0.7025574071681785,52.0,possible
33085,348.0,0.7024845692636403,48.0,international
26205,366.0,0.6995583950260904,44.0,paper
22703,537.0,0.699072912380745,3.0,papers
13567,49.0,0.6983950347845037,92.0,credit
13058,10.0,0.6965252489559821,94.0,save
42118,214.0,0.6858449206142536,69.0,note
36085,531.0,0.6838436764786928,0.0,linguistic
38922,103.0,0.6810801371591645,84.0,always
23208,117.0,0.6791545141162566,82.0,really
36125,220.0,0.6789554770651518,67.0,working
24596,108.0,0.6783014142345583,83.0,plus
19283,108.0,0.6783014142345583,83.0,sure
27716,38.0,0.670244427387653,89.0,orders
3012,50.0,0.6699527789329972,88.0,hours
31473,79.0,0.6687218054975868,85.0,down
13977,141.0,0.6664042361184659,77.0,less
25128,27.0,0.6648740715961735,89.0,online
33109,81.0,0.6631267559543235,84.0,personal
