,Filter Configuration,No. of Attrib,Threshold,Spam Recall,Spam Precision,Weighted Accuracy,Weighted Error,baseline W.Acc,baseline W.Err,TCR
0,bare,50,0.5,100.0,12.087475149105368,21.5679318907414,78.43206810925861,78.43206810925861,21.5679318907414,0.2749886928991407
1,bare,50,0.9,100.0,12.087475149105368,13.252539343476174,86.74746065652383,86.74746065652383,13.252539343476174,0.15277149605507814
2,bare,50,0.999,100.0,12.087475149105368,12.098110903860212,87.90188909613978,87.90188909613978,12.098110903860212,0.13763197842799832
3,bare,100,0.5,100.0,12.087475149105368,21.5679318907414,78.43206810925861,78.43206810925861,21.5679318907414,0.2749886928991407
4,bare,100,0.9,100.0,12.087475149105368,13.252539343476174,86.74746065652383,86.74746065652383,13.252539343476174,0.15277149605507814
5,bare,100,0.999,100.0,12.087475149105368,12.098110903860212,87.90188909613978,87.90188909613978,12.098110903860212,0.13763197842799832
6,bare,150,0.5,100.0,12.087475149105368,21.5679318907414,78.43206810925861,78.43206810925861,21.5679318907414,0.2749886928991407
7,bare,150,0.9,100.0,12.087475149105368,13.252539343476174,86.74746065652383,86.74746065652383,13.252539343476174,0.15277149605507814
8,bare,150,0.999,100.0,12.087475149105368,12.098110903860212,87.90188909613978,87.90188909613978,12.098110903860212,0.13763197842799832
9,bare,200,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
10,bare,200,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
11,bare,200,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
12,bare,250,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
13,bare,250,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
14,bare,250,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
15,bare,300,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
16,bare,300,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
17,bare,300,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
18,bare,350,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
19,bare,350,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
20,bare,350,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
21,bare,400,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
22,bare,400,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
23,bare,400,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
24,bare,450,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
25,bare,450,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
26,bare,450,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
27,bare,500,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
